t,a,m(t) at 111,mt at 99,mt at 88,mt at 77, at 111 MSE,MSE at 99,mse  at 88,mse at 77,,y-mean(y),,,,,,,
1,5,1.181736438,1.206208256,1.240393606,1.289221455,14.57913663,14.3928558,14.13464024,13.76987741,,125149.6752,,,,,,,
2,10,4.502950551,4.592592596,4.717594206,4.895171478,30.21755265,29.24005483,27.90381097,26.05927424,,121637.0252,,,,,,,
3,15,9.654484761,9.839053755,10.09596185,10.45885523,28.57453317,26.63536614,24.04959017,20.62199586,,118174.3752,,,,,,,
4,20,16.3602539,16.6602776,17.07712131,17.66241858,13.24775166,11.15374573,8.543219808,5.464286906,,114761.7252,,,,,,,
5,26,24.37411043,24.80238597,25.3962967,26.22497172,2.643516892,1.434279371,0.364457672,0.050612275,,110732.5452,,,,,,,
6,34,33.47698786,34.03988946,34.81898359,35.89880966,0.273541704,0.001591169,0.670734128,3.605478111,,105472.3052,,,,,,,
7,36,43.47429867,44.17291596,45.13792894,46.46599344,55.86514059,66.79655534,83.50174526,109.5370187,,104177.2452,,,,,,,
8,43,54.19356509,55.02469115,56.17039138,57.7352592,125.2958994,144.5931973,173.4592092,217.1278637,,99707.53523,,,,,,,
9,47,65.48226264,66.4392489,67.7556572,69.53922481,341.5940324,377.8843977,430.797306,508.016655,,97197.41523,,,,,,,
10,49,77.20585837,78.27935164,79.75278895,81.73186692,795.5704467,857.2804326,945.7340285,1071.375112,,95954.35523,,,,,,,
11,80,89.24602687,90.42460235,92.03858615,94.18624337,85.48901291,108.6723341,144.9275565,201.2495008,,77709.92523,,,,,,,
12,84,101.4990288,102.7697312,104.5057389,106.7924382,306.2160084,352.3028093,420.4853275,519.4952388,,75495.80523,,,,,,,
13,108,113.8742378,115.2230417,117.0611572,119.4557087,34.50666948,52.17233155,82.10456896,131.2332627,,62883.08523,,,,,,,
14,157,126.292803,127.7050021,129.6244598,132.0948158,942.9319478,858.1968995,749.420201,620.2681982,,40709.11523,,,,,,,
15,171,138.6864353,140.1469694,142.126609,144.6405201,1044.166467,951.9094989,833.6727086,694.8221824,,35255.69523,,,,,,,
16,183,150.9963061,152.4900335,154.5086766,157.0342285,1024.236423,930.8580581,811.7555096,674.2212911,,30893.33523,,,,,,,
17,191,163.1720499,164.6839721,166.7207308,169.2267776,774.3948054,692.5333229,589.4829127,474.0732158,,28145.09523,,,,,,459.4,0.0735
18,200,175.1708599,176.6863053,178.7208317,181.1773396,616.4861961,543.5283605,452.803002,354.2925431,,25206.32523,,,,,,,
19,204,186.9566698,188.4614408,190.4741261,192.852441,290.475104,241.4468225,182.949264,124.2680726,,23952.20523,,,,,,,
20,211,198.4994133,199.9799028,201.9520319,204.2250807,156.2646678,121.4425428,81.86572585,45.89953153,,21834.49523,,,,,,,
21,217,209.774355,211.2176358,213.1315046,215.2739414,52.2099454,33.43573579,14.96525653,2.979278155,,20097.31523,,,,,,,
22,226,220.7614859,222.1553771,223.9943772,225.9826821,27.44203035,14.78112548,4.022522787,0.000299909,,17626.54523,,,,,,,
23,230,231.4449774,232.7780912,234.5267678,236.3393056,2.087959682,7.717790981,20.49162634,40.18679538,,16580.42523,,,predicted value,,,,
24,234,241.8126898,243.0744616,244.7185474,246.3355935,61.038122,82.34585378,114.8872575,152.166867,,15566.30523,,,,,,,
25,236,251.8557286,253.0364327,254.5628633,255.9666019,251.4041294,290.2400397,344.5798936,398.6651913,,15071.24523,,,,,,,
26,240,261.5680456,262.6587994,264.055712,265.2302117,465.1805924,513.4211909,578.6772805,636.5635807,,14105.12523,,,,,,,
27,243,270.9460804,271.9388384,273.1955572,274.1267283,780.9834073,837.4563675,911.7716758,968.8732141,,13401.53523,,,,,,,
28,252,279.9884376,280.8759778,281.9829887,282.6585261,783.3526411,833.8220943,898.979609,939.9452247,,11398.76523,,,,,,,
29,254,288.6955987,289.4715017,290.4204178,290.8297327,1203.78457,1258.227432,1326.446834,1356.429211,,10975.70523,,,,,,,
30,259,297.0696623,297.7282857,298.5118068,298.6459489,1449.299188,1499.880114,1561.182875,1571.801266,,9953.055225,,,,,,,
31,263,305.1141129,305.6505615,306.2624272,306.1140018,1773.598508,1819.070395,1871.637611,1858.817152,,9170.935225,,,,,,,
32,264,312.833614,313.2437064,313.6786465,313.2417261,2384.721852,2424.942616,2467.967914,2424.747594,,8980.405225,,,,,,,
33,268,320.233823,320.5140567,320.7677376,320.0377722,2728.37227,2757.726148,2784.434135,2707.929737,,8238.285225,,,,,,,
34,271,327.3212278,327.4687417,327.5377123,326.511437,3172.080702,3188.718794,3196.512912,3081.519636,,7702.695225,,,,,,,
35,277,334.1029997,334.115537,333.9971724,332.6725161,3260.75258,3262.184562,3248.67766,3099.429053,,6685.515225,,,,,,,
36,293,340.5868648,340.4627338,340.1551801,338.5311749,2264.509701,2252.711098,2223.611012,2073.087884,,4325.035225,,,,,,,
37,309,346.7809887,346.5190252,346.0211438,344.0978354,1427.403105,1407.677254,1370.565089,1231.858049,,2476.555225,,,,,,,
38,324,352.6938758,352.293405,351.604718,349.3830795,823.3385093,800.5167689,762.0204549,644.3007249,,1208.605225,,,,,,,
39,331,358.3342803,357.7950794,356.9157163,354.3975642,747.1628796,717.9762818,671.6243503,547.4460118,,770.895225,,,,,,,
40,346,363.7111278,363.0333898,361.9640359,359.1519496,313.6840486,290.1363694,254.8504417,172.9737779,,162.945225,,,,,,,
41,367,368.8334473,368.0177458,366.7595922,363.6568367,3.361529183,1.035806499,0.05779592,11.1767407,,67.815225,,,,,,,
42,375,373.7103117,372.7575667,371.3122626,367.9227155,1.663295843,5.028507026,13.59940744,50.08795589,,263.575225,,,,,,,
43,381,378.3507861,377.2622318,375.6318384,371.9599203,7.018334473,13.97091149,28.81715888,81.72304027,,494.395225,,,,,,,
44,401,382.7638833,381.5410367,379.7279844,375.7785934,332.5559522,378.651251,452.4986495,636.11935,,1783.795225,,,,,,,
45,411,386.9585261,385.6031577,383.610204,379.3886543,577.9924686,644.9996009,750.2009259,999.2771744,,2728.495225,,,,,,,
46,414,390.9435142,389.4576197,387.2878112,382.7997755,531.6015358,602.3284322,713.5410285,973.4540067,,3050.905225,,,,,,,
47,417,394.7274975,393.1132713,390.769907,386.0213626,496.0643684,570.5758064,688.0177807,959.6759727,,3391.315225,,,,,,,
48,425,398.3189524,396.5787632,394.0653599,389.0625393,711.8783,807.7666989,956.9519595,1291.501081,,4387.075225,,,,,,,
49,430,401.7261637,399.8625307,397.1827915,391.9321359,799.4098209,908.2670562,1076.969174,1449.16228,,5074.425225,,,,,,,
50,431,404.9572085,402.9727799,400.1305645,394.6386812,678.2269888,785.5250687,952.9220458,1322.145501,,5217.895225,,,,,,,
51,433,408.0199446,405.9174771,402.9167744,397.190398,624.0031653,733.4630479,905.0004628,1282.327598,,5510.835225,,,,,,,
52,435,410.9220008,408.7043408,405.5492432,399.5951994,579.7500448,691.4616909,867.3470759,1253.499903,,5811.775225,,,,,,,
53,437,413.6707697,411.3408362,408.0355163,401.8606896,544.2529863,658.3926861,838.9413172,1234.771135,,6120.715225,,,,,,,
54,444,416.2734032,413.8341714,410.3828605,403.9941643,768.7641724,909.9772177,1130.112066,1600.466888,,7265.005225,,,,,,,
55,446,418.7368092,416.1912958,412.5982646,406.0026143,743.2815744,888.5588473,1115.675928,1599.790862,,7609.945225,,,,,,,
56,446,421.0676505,418.4189003,414.6884405,407.8927295,621.6220513,760.7170623,980.4137566,1452.164065,,7609.945225,,,,,,,
57,448,423.2723448,420.5234181,416.6598266,409.6709044,611.456931,754.9625519,982.206469,1469.119572,,7962.885225,,,,,,,
58,451,425.3570659,422.5110275,418.5185913,411.3432443,657.560071,811.6215523,1055.041908,1572.658271,,8507.295225,,,,,,,
59,453,427.3277459,424.387655,420.2706384,412.9155727,659.0646298,818.6662855,1071.211111,1606.76131,,8880.235225,,,,,,,
60,460,429.1900789,426.1589796,421.9216121,414.3934385,949.2512371,1145.214662,1449.963625,2079.958449,,10248.52523,,,,,,,
61,463,430.9495245,427.8304378,423.4769037,415.7821244,1027.232979,1236.898107,1562.07514,2229.527773,,10864.93523,,,,,,,
62,463,432.6113127,429.407229,424.9416581,417.0866553,923.4723188,1128.474266,1448.437388,2108.035222,,10864.93523,,,,,,,
